cluster_2	new_type	feature	cluster	type
13	Unknown	requirements education	1	education
13	Unknown	qualifications required education	1	education
13	Unknown	diploma required college education	1	education
13	Unknown	coaching lacrosse required education	1	education
13	Unknown	education physical requirements the	1	education
13	Unknown	applicable education required	1	education
13	Unknown	education minimum requirement	1	education
13	Unknown	environment requirements education	1	education
13	Unknown	years education required	1	education
13	Unknown	requirements and education the	1	education
13	Unknown	required minimum education college	1	education
13	Unknown	requirements education less	1	education
13	Unknown	requirements education less than	1	education
13	Unknown	required minimum education	1	education
13	Unknown	requirements and education	1	education
13	Unknown	research ability education requirement	1	education
13	Unknown	education requirements	1	education
13	Unknown	educational requirements	1	education
13	Unknown	regular education required high	1	education
13	Unknown	time regular education required	1	education
13	Unknown	required education certifications high	1	education
13	Unknown	interaction required education	1	education
13	Unknown	of education required	1	education
13	Unknown	required documents education	1	education
13	Unknown	discounts required education and	1	education
13	Unknown	discounts required education	1	education
13	Unknown	education required college preferred	1	education
13	Unknown	education required bachelors	1	education
13	Unknown	education required college	1	education
13	Unknown	required documents education certification	1	education
13	Unknown	required eeo employer education	1	education
13	Unknown	if applicable education required	1	education
13	Unknown	of education required high	1	education
13	Unknown	applicable qualifications required education	1	education
13	Unknown	applicable education required the	1	education
13	Unknown	education minimum requirement to	1	education
13	Unknown	carmax stores education required	1	education
13	Unknown	formal education minimum requirement	1	education
13	Unknown	mccs required documents education	1	education
13	Unknown	education requirement	1	education
13	Unknown	people required education high	1	education
13	Unknown	people required education	1	education
13	Unknown	stores education required the	1	education
13	Unknown	of people required education	1	education
13	Unknown	education requirements you must	1	education
13	Unknown	or education required	1	education
13	Unknown	retail environment requirements education	1	education
13	Unknown	required post secondary education	1	education
13	Unknown	required education or equivalent	1	education
13	Unknown	an education requirement you	1	education
13	Unknown	education required sales	1	education
13	Unknown	education required bachelor	1	education
13	Unknown	client need required education	1	education
13	Unknown	also required minimum education	1	education
13	Unknown	lacrosse required education	1	education
13	Unknown	lacrosse required education year	1	education
13	Unknown	an education requirement	1	education
13	Unknown	com education requirements	1	education
13	Unknown	years of education required	1	education
13	Unknown	com education requirements bachelor	1	education
13	Unknown	all timesminimum requirements education	1	education
13	Unknown	education requirement bachelor	1	education
13	Unknown	education required unknown	1	education
13	Unknown	educational and background requirements	1	education
13	Unknown	education required not indicated	1	education
13	Unknown	stores education required not	1	education
13	Unknown	years education required bachelors	1	education
13	Unknown	required education or	1	education
13	Unknown	or education required sales	1	education
13	Unknown	qualifications required education or	1	education
13	Unknown	education required	1	education
13	Unknown	educational accomplishment is required	1	education
13	Unknown	stores education required	1	education
13	Unknown	education required high	1	education
13	Unknown	education required the	1	education
13	Unknown	industry required education	1	education
13	Unknown	candabcseek com education requirements	1	education
13	Unknown	intelligence qualifications required education	1	education
13	Unknown	educational program requirements	1	education
13	Unknown	educational program requirements if	1	education
13	Unknown	educational requirements basic qualifications	1	education
13	Unknown	educational requirement	1	education
13	Unknown	educational requirement attracting	1	education
13	Unknown	educational requirement attracting talented	1	education
13	Unknown	educational requirements and	1	education
13	Unknown	educational requirements basic	1	education
13	Unknown	associate pt required education	1	education
13	Unknown	required education high	1	education
13	Unknown	required education	1	education
13	Unknown	must required education high	1	education
