cluster_2	new_type	feature	cluster	type
14	Unknown	knowledge or skills good	6	knowledge
14	Unknown	knowledge skills and work	6	knowledge
14	Unknown	skills and parts knowledge	6	knowledge
14	Unknown	skills and knowledge in	6	knowledge
14	Unknown	management skills knowledge	6	knowledge
14	Unknown	knowledge skills collaborate	6	knowledge
14	Unknown	knowledge skills strong	6	knowledge
14	Unknown	skills knowledge and	6	knowledge
14	Unknown	additional knowledge skills	6	knowledge
14	Unknown	skills advanced knowledge	6	knowledge
14	Unknown	of knowledge skills	6	knowledge
14	Unknown	the knowledge and skills	6	knowledge
14	Unknown	area skills knowledge understanding	6	knowledge
14	Unknown	knowledge general math skills	6	knowledge
14	Unknown	necessary skills and knowledge	6	knowledge
14	Unknown	organizational skills knowledge of	6	knowledge
14	Unknown	skills knowledge understanding of	6	knowledge
14	Unknown	skills knowledge	6	knowledge
14	Unknown	the knowledge skills	6	knowledge
14	Unknown	area skills knowledge	6	knowledge
14	Unknown	presentation skills knowledge	6	knowledge
14	Unknown	skills solid working knowledge	6	knowledge
14	Unknown	of knowledge and skill	6	knowledge
14	Unknown	knowledge and skill	6	knowledge
14	Unknown	skills knowledge understanding	6	knowledge
14	Unknown	skills and knowledge of	6	knowledge
14	Unknown	particular knowledge and skills	6	knowledge
14	Unknown	presentation skills knowledge of	6	knowledge
14	Unknown	skills knowledge of merchandise	6	knowledge
14	Unknown	skills knowledge of home	6	knowledge
14	Unknown	experience knowledge and skills	6	knowledge
14	Unknown	common knowledge skills	6	knowledge
14	Unknown	service skills working knowledge	6	knowledge
14	Unknown	qualifications knowledge skills and	6	knowledge
14	Unknown	the store knowledge skills	6	knowledge
14	Unknown	knowledge and skills needed	6	knowledge
14	Unknown	store knowledge skills and	6	knowledge
14	Unknown	knowledge or skill displays	6	knowledge
14	Unknown	professional knowledge skills having	6	knowledge
14	Unknown	professional skill or knowledge	6	knowledge
14	Unknown	knowledge skills having achieved	6	knowledge
14	Unknown	technical professional knowledge skills	6	knowledge
14	Unknown	professional knowledge skills	6	knowledge
14	Unknown	utilizes knowledge and skills	6	knowledge
14	Unknown	functional area skills knowledge	6	knowledge
14	Unknown	skills some knowledge	6	knowledge
14	Unknown	and presentation skills knowledge	6	knowledge
14	Unknown	knowledge and selling skills	6	knowledge
14	Unknown	complete knowledge skills and	6	knowledge
14	Unknown	knowledge skill	6	knowledge
14	Unknown	data sets knowledge skills	6	knowledge
14	Unknown	degree skills and knowledge	6	knowledge
14	Unknown	as needed knowledge skills	6	knowledge
14	Unknown	knowledge skills some	6	knowledge
14	Unknown	knowledge skills some experience	6	knowledge
14	Unknown	knowledge skills successful	6	knowledge
14	Unknown	knowledge skills the	6	knowledge
14	Unknown	knowledge skills successful retail	6	knowledge
14	Unknown	complete knowledge skills	6	knowledge
14	Unknown	organization skills working knowledge	6	knowledge
14	Unknown	continuously improve knowledge skills	6	knowledge
14	Unknown	knowledge skills or	6	knowledge
14	Unknown	visual presentation knowledge skills	6	knowledge
14	Unknown	presentation knowledge skills and	6	knowledge
14	Unknown	knowledge skills	6	knowledge
14	Unknown	necessary knowledge and skills	6	knowledge
14	Unknown	knowledge skill and or	6	knowledge
14	Unknown	skills and knowledge	6	knowledge
14	Unknown	knowledge skills and	6	knowledge
14	Unknown	knowledge and skills	6	knowledge
14	Unknown	presentation knowledge skills	6	knowledge
14	Unknown	the knowledge skill	6	knowledge
14	Unknown	skills knowledge of	6	knowledge
14	Unknown	knowledge skill and	6	knowledge
14	Unknown	skills working knowledge	6	knowledge
13	technical	knowledge of new	6	knowledge
13	technical	knowledge of new wireless	6	knowledge
13	technical	strong knowledge of new	6	knowledge
13	technical	knowledge of the new	6	knowledge
13	technical	new knowledge to	6	knowledge
13	technical	new knowledge	6	knowledge
13	technical	new knowledge to achieve	6	knowledge
13	technical	their knowledge of new	6	knowledge
13	technical	knowledge on new designer	6	knowledge
